name,finance,supply,population,urgency,capacity
Samaritan Inn,5,2,3,4,3
Grace Bridge Resale,4,1,3,2,7
Austin Street Center,9,1,6,8,6
Dallas 24 Hour Club,7,5,3,5,3
Mission Arlington,9,7,10,9,9
Trusted World,8,7,7,6,10
Dallas Life,9,4,1,5,2
OurCalling,10,5,5,4,5
Family Gateway,10,5,1,4,2
City House,6,4,5,5,5
Vogel Alcove,6,5,3,4,3
The Stewpot,6,5,2,4,2
In My Shoes,3,3,1,4,2
Mosaic Family Services,8,4,3,5,3
S.O.U.L. Church,2,5,2,4,2
Buckner Shoes for Orphan Souls,10,5,10,4,10
Presbyterian Night Shelter,9,8,1,4,2
Beautiful Feet Ministries,5,5,2,4,2
Union Gospel Mission of Tarrant County,9,8,1,6,2
One Man’s Treasure,3,4,1,5,2
Catholic Charities Dallas,10,7,4,3,4
Attitudes & Attire,5,4,5,5,5
Hope Supply Co.,7,8,2,4,10
Our Daily Bread,5,5,5,8,5
GRACE,6,5,1,4,2
Family Promise of Collin County,3,7,3,6,3
Denton County Friends of the Family,10,6,2,10,2
Voice of Hope Ministries,5,5,2,4,2
Many Helping Hands,5,5,4,8,4
Jonathan’s Place,6,7,4,10,4
